Model,AIC_Value,ExactAge,AgeGroup,StudyID
CongBeta,224.949414194857,15.027397260273972,Adolescents,68
CondBeta,226.285891357554,15.027397260273972,Adolescents,68
Vanilla,251.567401311453,9.213698630136989,Children,69
EmoQ,252.165530794836,9.213698630136989,Children,69
EmoBias,253.903799175833,9.213698630136989,Children,69
EmoHier,243.553998669732,9.213698630136989,Children,69
EmoAvg,253.829969920306,9.213698630136989,Children,69
Cong,251.820004839794,9.213698630136989,Children,69
Cond,251.583874956991,9.213698630136989,Children,69
CongBeta,251.916476662167,9.213698630136989,Children,69
CondBeta,253.582129929318,9.213698630136989,Children,69
Vanilla,82.8918143691289,14.994520547945204,Adolescents,70
EmoQ,102.349038209765,14.994520547945204,Adolescents,70
EmoBias,74.9630894529261,14.994520547945204,Adolescents,70
EmoHier,87.5362832181073,14.994520547945204,Adolescents,70
EmoAvg,111.509422590347,14.994520547945204,Adolescents,70
Cong,81.6571844142996,14.994520547945204,Adolescents,70
Cond,74.9991732045897,14.994520547945204,Adolescents,70
CongBeta,82.4989072392747,14.994520547945204,Adolescents,70
CondBeta,79.9899408713125,14.994520547945204,Adolescents,70
Vanilla,118.670177342273,22.76164383561644,Adults,71
EmoQ,160.215483966827,22.76164383561644,Adults,71
EmoBias,113.074019454049,22.76164383561644,Adults,71
EmoHier,120.861481093843,22.76164383561644,Adults,71
